2015.admissions.act_scores.midpoint.cumulative,2015.admissions.admission_rate.overall,2015.admissions.sat_scores.average.overall,2015.aid.federal_loan_rate,2015.aid.median_debt.completers.overall,2015.aid.pell_grant_rate,2015.completion.completion_rate_4yr_150nt,2015.cost.attendance.academic_year,2015.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,2015.student.FAFSA_applications,2015.student.family_income.overall,2015.student.parents_education_level,2015.student.size,school.faculty_salary,school.ft_faculty_rate,school.instructional_expenditure_per_fte,school.name,school.ownership,school.region_id,school.state_fips,school.tuition_revenue_per_fte
26.0,0.4464,1177.0,0.4611,19147.5,0.407,0.6844,19578.0,,14726.0,14726.0,13502.0,30282.0,9382.0,0.7669,9275,University of South Florida-Main Campus,1,5,12,6669
,1.0,,0.5682,25000.0,0.5825,1.0,10776.0,,212.0,212.0,179.0,409.0,5449.0,0.4722,2554,Luther Rice College & Seminary,2,5,13,6595
,0.6895,,0.5263,25000.0,0.2972,0.5545,47582.0,,5919.0,5919.0,5448.0,5247.0,9099.0,0.8786,16076,Embry-Riddle Aeronautical University-Daytona Beach,2,5,12,28796
,0.5842,,0.0,,0.6687,0.1837,24850.0,,94.0,94.0,,161.0,2719.0,,10505,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,2,8,6,12391
,,,0.6888,34891.0,0.5175,0.2,29544.0,,28672.0,28672.0,23190.0,809.0,8775.0,0.1094,2383,Strayer University-District of Columbia,3,2,11,16427
22.0,0.5867,1011.0,0.5742,22500.0,0.3533,0.5732,22229.0,,4209.0,4209.0,3798.0,9693.0,9118.0,0.484,10814,Central Connecticut State University,1,1,9,7684
19.0,0.4443,892.0,0.6523,28500.0,0.4715,0.4195,21182.0,,2106.0,2106.0,1867.0,3686.0,7202.0,0.6443,10992,Delaware State University,1,2,10,5647
23.0,0.5665,1056.0,0.5816,23699.0,0.5268,0.539,23631.0,,17238.0,17238.0,15101.0,24421.0,8580.0,0.7576,7646,Georgia State University,1,5,13,7355
23.0,0.9959,1040.0,0.2646,11000.0,0.3968,0.6113,11676.0,,10322.0,10322.0,9936.0,28457.0,8444.0,0.2955,4327,Brigham Young University-Idaho,2,7,16,2611
29.0,0.6556,1305.0,0.3759,20500.0,0.2049,0.8517,29568.0,,8241.0,8241.0,7735.0,32170.0,11834.0,0.7289,14212,University of Illinois at Urbana-Champaign,1,3,17,14395
18.0,0.2118,875.0,0.9228,31250.0,0.7078,0.1104,20305.0,,1984.0,1984.0,1478.0,3437.0,7392.0,0.7588,15813,Chicago State University,1,3,17,6853
,,,0.7819,39290.5,0.4799,0.4444,,,68.0,68.0,,25.0,6341.0,,9896,Harrington College of Design,3,3,17,21446
